date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
2016-05-30,19,1,1,30,3,2,3,0,2,1,1,110,1,11,2,0,0,0,50,6,59
2016-10-31,11,0,0,18,0,2,9,0,4,6,3,121,1,18,2,0,0,0,10,15,59
2015-05-14,19,0,0,36,0,8,0,0,11,0,0,70,0,27,3,0,0,0,42,10,60
2016-10-29,18,0,0,121,0,0,1,0,3,2,0,5,0,54,0,0,0,0,3,0,60
2015-05-30,23,38,3,0,1,0,0,0,11,0,0,20,36,12,0,0,0,0,58,2,61
2015-04-25,13,0,0,104,0,3,0,2,2,0,0,28,45,0,0,0,0,0,0,3,62
2015-10-27,9,1,2,196,0,0,6,0,5,6,0,30,0,33,0,0,0,0,3,2,62
2016-05-25,9,2,2,118,1,0,0,0,2,1,0,14,1,48,0,0,0,0,9,3,62
2016-10-28,16,0,4,142,0,0,1,0,5,0,0,22,0,12,0,0,0,0,6,1,62
2015-03-21,3,0,8,277,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53,63
2015-06-13,0,0,1,966,1,0,0,0,0,5,0,0,120,0,0,0,0,0,0,17,63
2015-09-12,0,0,1,244,0,1,5,0,0,2,0,0,23,0,0,0,0,0,0,18,63
2015-12-12,0,0,0,261,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,131,63
2016-03-12,0,0,0,3,0,0,0,0,0,5,0,0,44,0,0,0,0,0,0,166,63
2016-06-04,3,16,27,101,0,0,0,1,0,11,15,0,12,0,0,0,0,0,0,65,63
2016-09-10,0,0,0,315,0,0,0,0,1,6,0,0,85,0,1,0,0,1,0,27,63
2016-12-10,0,1,3,215,1,0,0,0,0,4,2,0,15,0,3,0,0,0,0,108,63
2015-05-12,0,0,0,0,0,1,0,0,0,9,2,0,203,0,11,0,0,0,0,5,64
2016-09-16,0,0,0,3,0,85,0,0,0,15,13,0,80,0,4,5,0,0,0,0,64
2016-05-14,11,5,0,24,0,0,0,0,0,0,0,0,334,1,0,0,0,0,0,3,65
2016-08-13,72,2,0,174,0,1,1,0,0,1,0,9,65,7,6,0,0,0,0,9,65
2016-10-29,58,1,0,7,0,0,117,3,1,0,0,6,14,7,1,0,19,0,0,7,67
2015-06-20,19,16,57,33,3,0,57,0,0,0,10,0,42,17,0,0,19,0,0,16,68
2015-09-19,23,12,48,0,1,0,38,0,0,2,11,0,53,0,0,0,39,0,0,4,68
2016-07-19,285,3,20,0,0,0,540,0,0,3,12,0,33,0,0,0,61,0,0,0,68
2016-03-17,9,15,0,0,3,0,0,43,0,0,0,116,30,5,5,0,0,0,3,1,69
2016-03-30,14,18,0,0,2,1,0,6,0,0,0,111,21,5,4,0,0,0,17,1,69
2015-12-05,0,0,1,111,0,5,2,1,0,0,1,32,9,39,39,0,5,0,223,27,70
2016-07-14,33,12,1,100,0,4,0,0,1,0,0,42,6,42,9,0,0,0,47,1,71
2015-08-15,76,0,2,43,0,15,70,0,3,0,6,39,13,19,0,0,0,0,0,1,72
2016-05-26,63,52,2,19,3,3,1,0,2,18,1,5,100,3,0,0,9,0,1,1,73
2015-07-25,19,0,29,72,1,3,1,13,18,0,1,24,0,41,2,0,0,0,0,6,74
2015-10-18,50,1,14,31,0,0,3,43,6,0,3,34,4,117,4,0,0,0,0,0,74
2016-03-26,46,418,0,11,0,2,2,7,5,0,0,30,83,7.5,0,0,0,0,16.5,0,74
2016-07-09,39,4,27,114,1,3,1,4,8,0,5,15,6,3,4,0,0,0,0,5,74
2016-11-12,21,0,27,1,0,1,26,69,0,0,30,0,4,1,2,0,0,0,0,46,74
2015-02-11,1,3,3,48,0,27,0,0,0,246,0,7,13,7,0,0,5,0,0,4,75
2015-04-16,8,0,4,3,0,30,0,0,0,118,0,1,61,9,0,0,2,0,0,2,75
2015-08-19,13,0,22,52,0,21,90,0,0,4,0,25,118,0,0,0,3,0,0,3,75
2015-10-23,11,1,0,0,0,65,1,0,0,22,0,0,121,0,0,0,8,0,0,3,75
2016-02-29,8,26,0,30,0,53,0,0,0,57,0,0,37,0,0,0,5,0,0,0,75
2016-07-22,114,1,0,0,0,21,50,2,0,177,3,0,29,0,2,0,8,0,0,22,75
2016-02-29,48,0,0,17,3,0,0,0,4,0,0,86,49,35,1,0,0,0,5,0,124
2016-07-22,162,3,0,50,0,0,1,0,3,0,4,173,20,72,7,0,0,0,1,0,124
2015-11-28,59,1,1,20,0,1,168,1,1,1,0,0,40,0,0,0,0,0,0,2,77
2016-05-30,33,1,1,27,0,0,0,0,0,0,0,49,4,90,0,0,0,0,4,0,78
2016-07-26,4,28,0,87,3,2,0,0,0,0,0,2,100,3,6,0,0,0,0,3,79
2016-11-19,2,0,0,11,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,1,79
2015-05-10,14,4,1,3,0,0,0,0,0,0,0,0,198,3,0,0,1,0,1,150,80
2015-07-26,17,0,84,56,0,0,0,0,0,0,0,1,0,13,0,5,3,0,1,28,80
2015-11-21,49,1,50,39,0,0,11,0,0,0,0,7,7,22,9,0,12,0,0,24,80
2016-07-11,20,0,42,190,0,0,0,0,0,0,0,0,0,12,0,0,5,0,2,43,80
2016-11-20,28,1,59,367,0,0,0,0,3,0,0,18,6,36,2,0,3,0,0,23,80
2015-01-19,1,0,0,72,0,0,0,0,0,0,0,0,0,172,21,0,2,0,2,15,81
2015-03-13,0,0,0,109,1,0,0,0,0,0,1,0,38,203,20,0,0,0,1,1,81
2015-02-28,10,0,50,253,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,82
2015-04-29,0,36,13,133,0,0,0,0,0,0,0,0,43,0,0,3,0,0,0,1,82
2015-03-15,50,3,2,137,0,3,2,0,0,0,0,0,174,3,6,0,0,1,0,17,83
2015-01-23,18,4,1,55,0,3,1,0,8,0,0,16,15,56,6,0,0,0,74,2,84
2015-05-29,22,1,4,26,0,4,0,0,3,0,0,133,26,20,3,0,0,0,14,2,84
2015-08-14,38,2,8,225,0,1,4,0,8,0,0,80,27,30,1,0,0,0,3,3,84
2015-11-05,51,1,4,74,1,4,0,0,4,0,0,37,4,31,6,0,0,0,5,7,84
2016-05-25,18,1,8,21,0,11,0,0,5,0,0,58,56,5,4,0,0,0,22,5,84
2015-01-30,8,0,0,201,1,0,4,0,12,0,0,86,105,40,1,0,0,0,21,0,85
2015-05-27,38,6,0,83,0,0,0,0,3,0,0,11,61,1,1,0,0,0,7,0,85
2015-08-21,88,0,4,27,0,0,1,0,45,0,0,54,26,15,2,0,0,0,0,1,85
2015-11-03,69,6,5,27,0,1,0,0,25,0,0,46,2,13,1,0,0,0,2,11,85
2016-01-21,11,1,5,54,0,0,1,0,14,0,0,47,63,5,2,0,2,0,16,1,85
2016-04-21,55,8,0,5,0,0,0,0,9,0,0,41,130,2,0,0,0,0,26,0,85
2016-11-01,19,2,0,50,0,0,1,1,8,0,1,146,30,9,4,1,0,0,0,4,85
2015-01-23,8,52,1,99,0,0,1,0,7,0,0,25,9,7,2,0,0,0,61,0,86
2015-08-14,11,0,0,131,0,0,0,0,12,0,0,48,12,5,2,1,0,0,1,0,86
2015-11-13,10,1,0,122,0,0,0,0,3,0,0,27,16,0,0,0,0,0,27,7,86
2016-08-09,24,7,0,204,0,0,0,0,22,0,0,43,3,8,2,0,0,0,9,1,86
2016-11-02,18,1,3,145,0,0,2,0,9,0,0,83,2,10,3,0,0,0,3,0,86
2015-02-12,102,19,0,11,0,2,0,0,4,0,2,16,20,7,4,0,0,0,29,0,87
2015-05-22,123,2,0,8,1,0,0,0,2,0,0,29,22,3,7,0,0,0,32,0,87
2015-08-13,121,0,0,42,0,0,0,0,9,0,1,23,8,2,2,0,0,0,9,0,87
2015-11-02,88,2,3,51,1,0,1,0,7,0,0,14,65,32,2,0,0,0,13,2,87
2016-11-03,113,4,0,37,0,0,0,0,0,0,0,22,13,10,3,0,0,0,6,1,87
2015-01-30,1,2,1,156,0,0,54,0,0,0,0,0,86,2,0,0,0,0,0,1,88
